evaluation_track,scenario,parameter,node_id,scale,dose_point_count,dose_response_slope,slope_ci_low,slope_ci_high,spearman_rho,monotonic_direction_score,adjacent_dose_consistency,quadratic_delta_r2,nonlinearity_indicator,slope_bootstrap_unit,primary_classification_changed
secondary_dose_response,schelling,move_probability,relocation_response_fraction,micro,5,-0.018072906861907278,-0.04034743492441901,0.007606483837888412,-0.39999999999999997,0.7,0.75,0.48070445505705406,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,macro_global_connected_components,macro,5,-0.87162573937086,-0.9815975326126037,-0.7730655622436721,-0.9999999999999999,1.0,1.0,0.20353841600176326,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,macro_global_moved_fraction,macro,5,0.4037445319796004,0.3715964475124765,0.4370741455584287,0.9999999999999999,1.0,1.0,0.07180979181204694,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,macro_global_spatial_neighbor_similarity,macro,5,2.264537629052142,2.1662736905481057,2.3640780928620124,0.9999999999999999,1.0,1.0,0.0703774595668184,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,macro_global_unhappy_fraction,macro,5,0.45809481895262233,0.41725857960246965,0.5015406505246081,0.9999999999999999,1.0,1.0,0.07411841912540029,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,meso_district_boundary_fraction_std,meso,5,-0.9165219090334678,-1.1643358403389272,-0.6769481095837176,-0.8999999999999998,0.9,0.75,0.06172268314135232,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,meso_district_destination_similarity_std,meso,5,0.3305335255467561,0.30470121278363926,0.3586359597073651,0.9999999999999999,1.0,1.0,0.05835129281099605,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,meso_district_group_entropy_mean,meso,5,-0.6195733313770089,-0.787580680422932,-0.459424781648089,-0.9999999999999999,1.0,1.0,0.057356404232274394,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,meso_district_move_fraction_std,meso,5,0.3709115458240591,0.33600795345990914,0.405571302214242,0.9999999999999999,1.0,1.0,0.05557275845621634,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,meso_district_unhappy_fraction_std,meso,5,0.543310038839728,0.47954473021471394,0.6157941378125691,0.9999999999999999,1.0,1.0,0.08691912789332712,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,unhappy_fraction,micro,5,0.45809481895262233,0.41695881455286127,0.49933024667307646,0.9999999999999999,1.0,1.0,0.07411841912540029,True,paired_seeds,False
