scenario,operator,error_ratio,repetition,candidate_set_sha256,evaluation_track,candidate_edge_count,retained_edge_count,temporal_qualification_rate,stability,lag_support,lag_std,edge_f1,shd,lag_mae,direction_accuracy,reference_metric_reason
deffuant,cross_hypothesis_group_relation,0.2,5,4eb97b8c780767338fbf267e16860e834722bab51b8fb4362a627912530af04a,full_discovery,34,20,0.5882352941176471,0.9433333333333334,0.7966666666666666,0.6470442422196144,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.2,6,03d2605157df2c82942fbb9852d22f3b53713b9a47716c964e44f6e3dbba874e,full_discovery,34,16,0.47058823529411764,0.9479166666666667,0.7479166666666667,0.7017308244826768,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.2,7,d5126df2917fd20caf236a28e11a14bcc406fecdd8bdbb3352cee0a6f5f642b6,full_discovery,34,18,0.5294117647058824,0.9777777777777776,0.7240740740740741,0.7805996970718607,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.2,8,b6c23fe58ccd63a99b420a6cec0d5798f47bee50b0fa3ef7d253ef9d6d5cc941,full_discovery,34,18,0.5294117647058824,0.9592592592592593,0.7444444444444444,0.6638218841578323,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.2,9,f0f339d91d217ebebceba94bde96d8b3f2bb9468fd78d7f95c03a02e789ac208,full_discovery,34,18,0.5294117647058824,0.9574074074074075,0.7629629629629631,0.6855238581465094,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.2,10,9481d027a5cbc7f29f3bfcb460e70c6567f6bf78a065c82131ed99f4bb3eb145,full_discovery,34,18,0.5294117647058824,0.9444444444444444,0.7759259259259258,0.5358935903275901,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.2,11,a4547e1d2e64452c9257194cca2f82b213ca0ec0fe95dc21fcf3336bdadc6124,full_discovery,34,20,0.5882352941176471,0.945,0.7049999999999998,0.8587366855341392,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.4,0,57bfaf03e9229cbe0c6118ae4417d8ad3e9dbbfa71cf9b5b08b96abe741fdaad,full_discovery,39,22,0.5641025641025641,0.9333333333333332,0.743939393939394,0.6300282838590434,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.4,1,6fbfd11550514f9e9d42fbedb0c6cb9a1950794bc21efbd6dac641b450aea10c,full_discovery,39,24,0.6153846153846154,0.9569444444444445,0.8000000000000002,0.6447138610897195,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.4,2,04f66c55e91464b5265bb482a8cc5eb3db33e43a489f2e73e8337a1a70380daa,full_discovery,39,25,0.6410256410256411,0.9506666666666667,0.7453333333333333,0.6575302738495193,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.4,3,f9ec1240cc55c27959fd9e8fa2c10c23d10379cf4e217a03da56c571f754d82b,full_discovery,39,23,0.5897435897435898,0.9579710144927532,0.7521739130434782,0.7578329273765813,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.4,4,2e3d70685ff74e3073ca31118acdbd649847359e7990888615b3a986caec000e,full_discovery,39,19,0.48717948717948717,0.9438596491228071,0.6561403508771929,0.8606211430813063,,,,,not_applicable_without_generated_to_hidden_alignment
deffuant,cross_hypothesis_group_relation,0.4,5,b32686553fac9124cb59f5f3598aa2179f1c950730b5273e8fb2bf613d36672e,full_discovery,39,21,0.5384615384615384,0.9460317460317462,0.7047619047619047,0.8733437080145896,,,,,not_applicable_without_generated_to_hidden_alignment
