scenario	stage	source	target	path_reuse_count	path_ids	holdout_path_ids	terminal_holdout_marker
deffuant	2	meso_neighborhood_interaction_distance_std	macro_network_assortativity	1	"[""as_plus_shift_diststd_assort""]"	[]	False
deffuant	2	meso_neighborhood_opinion_std	macro_opinion_global_variance	2	"[""as_plus_shift_ostd_gvar"", ""cb_plus_accept_ostd_gvar""]"	[]	False
deffuant	2	meso_neighborhood_opinion_variance	macro_opinion_global_variance	2	"[""as_minus_shift_ovar_gvar"", ""cb_minus_accept_ovar_gvar""]"	[]	False
deffuant	2	micro_accepted_fraction	meso_neighborhood_abs_opinion_variance	1	"[""cb_minus_accept_absovar_assort""]"	[]	False
deffuant	2	micro_accepted_fraction	meso_neighborhood_opinion_std	1	"[""cb_plus_accept_ostd_gvar""]"	[]	False
deffuant	2	micro_accepted_fraction	meso_neighborhood_opinion_variance	1	"[""cb_minus_accept_ovar_gvar""]"	[]	False
deffuant	2	micro_backfire_fraction	meso_neighborhood_agent_shift_std	1	"[""bt_plus_backfire_shiftstd_gmean""]"	[]	False
deffuant	2	micro_mean_abs_agent_shift	meso_neighborhood_interaction_distance_std	1	"[""as_plus_shift_diststd_assort""]"	[]	False
deffuant	2	micro_mean_abs_agent_shift	meso_neighborhood_opinion_std	1	"[""as_plus_shift_ostd_gvar""]"	[]	False
deffuant	2	micro_mean_abs_agent_shift	meso_neighborhood_opinion_variance	1	"[""as_minus_shift_ovar_gvar""]"	[]	False
deffuant	3	meso_neighborhood_abs_opinion_variance	macro_network_assortativity	1	"[""cb_minus_accept_absovar_assort""]"	"[""cb_minus_accept_absovar_assort""]"	True
deffuant	3	meso_neighborhood_opinion_std	macro_opinion_global_variance	1	"[""cb_plus_accept_ostd_gvar""]"	[]	False
deffuant	3	meso_neighborhood_opinion_variance	macro_opinion_global_variance	1	"[""cb_minus_accept_ovar_gvar""]"	"[""cb_minus_accept_ovar_gvar""]"	True
deffuant	3	micro_accepted_fraction	meso_neighborhood_abs_opinion_variance	1	"[""cb_minus_accept_absovar_assort""]"	"[""cb_minus_accept_absovar_assort""]"	False
deffuant	3	micro_accepted_fraction	meso_neighborhood_opinion_std	1	"[""cb_plus_accept_ostd_gvar""]"	[]	False
deffuant	3	micro_accepted_fraction	meso_neighborhood_opinion_variance	1	"[""cb_minus_accept_ovar_gvar""]"	"[""cb_minus_accept_ovar_gvar""]"	False
deffuant	3	parameter:confidence_bound	micro_accepted_fraction	3	"[""cb_minus_accept_absovar_assort"", ""cb_minus_accept_ovar_gvar"", ""cb_plus_accept_ostd_gvar""]"	"[""cb_minus_accept_absovar_assort"", ""cb_minus_accept_ovar_gvar""]"	False
