panel	source_file	factor	scenario	x_column	x	metric	n_total	n_finite	n_missing	repetitions	median	q25	q75	iqr_available
g	analysis/observation_robustness.csv	support_threshold	deffuant	support_threshold	0.85	retained_edge_count	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	13.5	12.75	14.25	True
g	analysis/observation_robustness.csv	support_threshold	schelling	support_threshold	0.5	retained_edge_count	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	28.0	28.0	28.0	True
g	analysis/observation_robustness.csv	support_threshold	schelling	support_threshold	0.6	retained_edge_count	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	28.0	28.0	28.0	True
g	analysis/observation_robustness.csv	support_threshold	schelling	support_threshold	0.65	retained_edge_count	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	28.0	28.0	28.0	True
g	analysis/observation_robustness.csv	support_threshold	schelling	support_threshold	0.75	retained_edge_count	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	27.0	27.0	28.0	True
g	analysis/observation_robustness.csv	support_threshold	schelling	support_threshold	0.85	retained_edge_count	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	25.5	25.0	26.25	True
h	analysis/observation_robustness.csv	support_threshold	deffuant	support_threshold	0.5	stability	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	0.9479166666666669	0.9479166666666667	0.9505208333333333	True
h	analysis/observation_robustness.csv	support_threshold	deffuant	support_threshold	0.6	stability	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	0.9427083333333334	0.9390624999999999	0.9442708333333333	True
h	analysis/observation_robustness.csv	support_threshold	deffuant	support_threshold	0.65	stability	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	0.9427083333333334	0.9374999999999999	0.9463541666666666	True
h	analysis/observation_robustness.csv	support_threshold	deffuant	support_threshold	0.75	stability	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	0.9515972222222223	0.9511111111111112	0.9545138888888889	True
h	analysis/observation_robustness.csv	support_threshold	deffuant	support_threshold	0.85	stability	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	0.9735714285714288	0.9666666666666668	0.9836538461538462	True
h	analysis/observation_robustness.csv	support_threshold	schelling	support_threshold	0.5	stability	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	0.969047619047619	0.9672619047619047	0.9714285714285714	True
h	analysis/observation_robustness.csv	support_threshold	schelling	support_threshold	0.6	stability	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	0.9690476190476189	0.9648809523809523	0.9714285714285714	True
h	analysis/observation_robustness.csv	support_threshold	schelling	support_threshold	0.65	stability	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	0.9672619047619048	0.9657738095238095	0.969047619047619	True
h	analysis/observation_robustness.csv	support_threshold	schelling	support_threshold	0.75	stability	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	0.978152557319224	0.9746362433862434	0.9809472934472936	True
h	analysis/observation_robustness.csv	support_threshold	schelling	support_threshold	0.85	stability	8	8	0	[0, 1, 2, 3, 4, 5, 6, 7]	0.9806666666666667	0.9777896486229819	0.9825384615384615	True
