parameter	direction	node_id	evaluation_track	scenario	scale	baseline_sd	cumulative_effect_raw	cumulative_effect_standardised	cumulative_effect	cumulative_ci_low_raw	cumulative_ci_high_raw	cumulative_ci_low_standardised	cumulative_ci_high_standardised	ci_width	peak_time	onset_time	onset_ci_low	onset_ci_high	terminal_effect_standardised	significant	effect_sign	paired_seed_sign_consistency	paired	saved_significant	ci_excludes_zero	row	column	code	display_na	display_significance_dot
backfire_threshold	minus	macro_network_largest_component_fraction	primary_discovery	deffuant	macro	0.001600556299678277	0.0001636904761904756	0.10227098929502106	0.10227098929502106	-0.00013392857142857095	0.0006249999999999977	-0.0836762639686536	0.3904892318537168	0.47416549582237044	78	-1	78.0	111.0	0.2033798082571442	False	1	0.041666666666666664	True	False	False	2	25	Ma02	False	False
backfire_threshold	minus	macro_opinion_global_mean	primary_discovery	deffuant	macro	0.02981141988976378	-0.0013848774610067498	-0.04645459579341504	-0.04645459579341504	-0.0029876906572595566	0.00047037836423854186	-0.10021966978786635	0.01577846227982095	0.1159981320676873	69	-1	40.500000000000014	113.75	-0.05047848574488809	False	-1	0.6666666666666666	True	False	False	2	26	Ma03	False	False
backfire_threshold	minus	macro_opinion_global_variance	primary_discovery	deffuant	macro	0.05865438030214374	0.02920830986566014	0.49797320703416603	0.49797320703416603	0.022814232075202563	0.03430438295080666	0.388960414510913	0.5848562848008281	0.19589587028991506	119	8	7.0	8.0	0.5596214604078046	True	1	0.9166666666666666	True	True	True	2	27	Ma04	False	True
backfire_threshold	plus	micro_accepted_count	primary_discovery	deffuant	micro	21.49190901251589	-0.5845238095238096	-0.02719738898873106	-0.02719738898873106	-1.1508928571428572	-0.013085317460318008	-0.053550052555714364	-0.0006088485416859786	0.05294120401402839	15	-1	12.475000000000005	92.62499999999996	-0.03610854979028322	False	-1	0.5833333333333334	True	False	True	3	0	Mi01	False	False
backfire_threshold	plus	micro_accepted_fraction	primary_discovery	deffuant	micro	0.08954962088548292	-0.0024355158730158728	-0.027197388988731048	-0.027197388988731048	-0.004795386904761905	-5.4522156084658826e-05	-0.05355005255571434	-0.0006088485416859836	0.05294120401402836	15	-1	12.475000000000005	92.62499999999996	-0.03610854979028318	False	-1	0.5833333333333334	True	False	True	3	1	Mi02	False	False
backfire_threshold	plus	micro_agent_shift_std	primary_discovery	deffuant	micro	0.006435784645178799	-0.00031006230329651204	-0.04817785559819612	-0.04817785559819612	-0.0008700523299898668	0.00015676041432073764	-0.13518978305802135	0.024357622724087053	0.1595474057821084	85	-1	6.0	96.0	-0.09698279884016259	False	-1	0.4583333333333333	True	False	False	3	2	Mi03	False	False
backfire_threshold	plus	micro_backfire_fraction	primary_discovery	deffuant	micro	0.07480579928965946	-0.03643683862433863	-0.48708574696528045	-0.48708574696528045	-0.04282948908730159	-0.030628844246031746	-0.5725423629451412	-0.4094447828494177	0.16309758009572345	15	0	0.0	0.0	-0.05695689450520294	True	-1	1.0	True	True	True	3	3	Mi04	False	True
backfire_threshold	plus	micro_edge_rewired_count	primary_discovery	deffuant	micro	3.677555499265583	0.07658730158730158	0.02082560048450561	0.02082560048450561	0.0005853174603174621	0.16269841269841268	0.00015915938194117001	0.04424091294635907	0.044081753564417896	21	-1	10.750000000000007	66.5	0.01463457028865841	False	1	0.6666666666666666	True	False	True	3	4	Mi05	False	False
backfire_threshold	plus	micro_extreme_agent_fraction	primary_discovery	deffuant	micro	0.012188124188530679	0.0005753968253968254	0.047209629348730124	0.047209629348730124	-0.001403811177248677	0.0025224454365079365	-0.11517860792472868	0.2069592824531292	0.3221378903778579	44	-1	7.0	17.0	0.2736089689445979	False	1	0.5416666666666666	True	False	False	3	5	Mi06	False	False
backfire_threshold	plus	micro_interaction_distance_std	primary_discovery	deffuant	micro	0.09145138327088546	-0.03909981852482324	-0.4275475900567498	-0.4275475900567498	-0.04377027559568108	-0.03440957720933338	-0.47861797197785877	-0.37626087193683866	0.10235710004102011	42	7	5.0	7.0	-0.2418858106209457	True	-1	1.0	True	True	True	3	6	Mi07	False	True
