scenario	method	metric	trajectory_count	repeated_subsamples	median	q25	q75	finite_point_count
schelling	trajectory_vote	stability	8	12	0.825	0.8039814814814815	0.832548076923077	12
schelling	trajectory_vote	stability	12	12	0.8235373054213634	0.8167592592592594	0.828525641025641	12
schelling	trajectory_vote	stability	16	12	0.8125445156695157	0.8006588319088319	0.8175	12
schelling	trajectory_vote	stability	20	12	0.8137307692307694	0.8096153846153846	0.8194230769230769	12
schelling	trajectory_vote	stability	24	12	0.8125	0.8125	0.8125	12
deffuant	full_method	temporal_qualification_rate	1	12	0.3214285714285714	0.25	0.3571428571428571	12
deffuant	full_method	temporal_qualification_rate	2	12	0.33928571428571425	0.2857142857142857	0.3928571428571428	12
deffuant	full_method	temporal_qualification_rate	4	12	0.3214285714285714	0.25	0.4285714285714285	12
deffuant	full_method	temporal_qualification_rate	8	12	0.41071428571428564	0.37499999999999994	0.5089285714285714	12
deffuant	full_method	temporal_qualification_rate	12	12	0.48214285714285715	0.4285714285714285	0.5357142857142857	12
deffuant	full_method	temporal_qualification_rate	16	12	0.5357142857142857	0.5	0.5446428571428571	12
deffuant	full_method	temporal_qualification_rate	20	12	0.5535714285714286	0.5357142857142857	0.5803571428571428	12
deffuant	full_method	temporal_qualification_rate	24	12	0.5714285714285714	0.5625	0.5714285714285714	12
deffuant	full_method	stability	1	12	NA	NA	NA	0
deffuant	full_method	stability	2	12	0.9369318181818183	0.9138392857142857	0.9625925925925926	12
deffuant	full_method	stability	4	12	0.9140211640211642	0.8589285714285714	0.9258012820512822	12
deffuant	full_method	stability	8	12	0.925	0.887878787878788	0.9366666666666669	12
deffuant	full_method	stability	12	12	0.9180555555555556	0.9069298245614036	0.9391269841269843	12
deffuant	full_method	stability	16	12	0.9233630952380953	0.9177777777777778	0.9452922077922078	12
deffuant	full_method	stability	20	12	0.935300925925926	0.923235294117647	0.9382291666666669	12
deffuant	full_method	stability	24	12	0.9375	0.9354166666666668	0.9469791666666668	12
deffuant	trajectory_vote	temporal_qualification_rate	1	12	0.3214285714285714	0.25	0.3571428571428571	12
deffuant	trajectory_vote	temporal_qualification_rate	2	12	0.4642857142857143	0.4196428571428571	0.5	12
deffuant	trajectory_vote	temporal_qualification_rate	4	12	0.41071428571428564	0.3928571428571428	0.4285714285714285	12
deffuant	trajectory_vote	temporal_qualification_rate	8	12	0.30357142857142855	0.24107142857142855	0.3660714285714285	12
deffuant	trajectory_vote	temporal_qualification_rate	12	12	0.3214285714285714	0.2767857142857143	0.3571428571428571	12
deffuant	trajectory_vote	temporal_qualification_rate	16	12	0.2857142857142857	0.25	0.2857142857142857	12
deffuant	trajectory_vote	temporal_qualification_rate	20	12	0.25	0.25	0.2857142857142857	12
deffuant	trajectory_vote	temporal_qualification_rate	24	12	0.25	0.25	0.25	12
deffuant	trajectory_vote	stability	1	12	NA	NA	NA	0
deffuant	trajectory_vote	stability	2	12	0.7073863636363636	0.6666666666666666	0.7548076923076923	12
deffuant	trajectory_vote	stability	4	12	0.6846590909090908	0.6465909090909091	0.7083333333333334	12
deffuant	trajectory_vote	stability	8	12	0.675	0.6600694444444444	0.7034801136363636	12
deffuant	trajectory_vote	stability	12	12	0.668452380952381	0.6511363636363636	0.689484126984127	12
deffuant	trajectory_vote	stability	16	12	0.68359375	0.6640625	0.7061011904761905	12
deffuant	trajectory_vote	stability	20	12	0.6892857142857143	0.6555555555555556	0.6946428571428572	12
deffuant	trajectory_vote	stability	24	12	0.6845238095238095	0.6845238095238095	0.6845238095238095	12
