panel	scenario	path_id	path_classification	x_field	y_field	x	y	plotted	source_file
c	deffuant	cb_minus_accept_ovar_gvar	supported	observational_total_lag	intervention_total_latency	5.0	4.0	True	analysis/path_timing_concordance.csv
c	deffuant	cb_plus_accept_ostd_gvar	supported	observational_total_lag	intervention_total_latency	5.0	2.0	True	analysis/path_timing_concordance.csv
c	schelling	dest_minus_dest_sim_to_dest_std_to_global_unhappy	contradicted	observational_total_lag	intervention_total_latency	5.0	1.0	True	analysis/path_timing_concordance.csv
c	schelling	dest_minus_dest_sim_to_move_std_to_components	contradicted	observational_total_lag	intervention_total_latency	5.0	1.0	True	analysis/path_timing_concordance.csv
c	schelling	dest_plus_dest_sim_to_boundary_std_to_global_unhappy	manipulation_failure	observational_total_lag	intervention_total_latency	2.0	NA	False	analysis/path_timing_concordance.csv
c	schelling	dest_plus_dest_sim_to_dest_std_to_spatial_sim	manipulation_failure	observational_total_lag	intervention_total_latency	5.0	NA	False	analysis/path_timing_concordance.csv
c	schelling	dest_plus_dest_sim_to_group_entropy_to_components	manipulation_failure	observational_total_lag	intervention_total_latency	2.0	NA	False	analysis/path_timing_concordance.csv
c	schelling	move_minus_moved_to_boundary_std_to_components	inconclusive	observational_total_lag	intervention_total_latency	7.0	1.0	True	analysis/path_timing_concordance.csv
c	schelling	move_minus_response_to_unhappy_std_to_global_unhappy	manipulation_failure	observational_total_lag	intervention_total_latency	6.0	1.0	True	analysis/path_timing_concordance.csv
c	schelling	move_plus_moved_to_dest_std_to_spatial_sim	contradicted	observational_total_lag	intervention_total_latency	2.0	1.0	True	analysis/path_timing_concordance.csv
c	schelling	move_plus_moved_to_neighbour_std_to_global_unhappy	inconclusive	observational_total_lag	intervention_total_latency	4.0	1.0	True	analysis/path_timing_concordance.csv
c	schelling	move_plus_response_to_move_std_to_global_moved	manipulation_failure	observational_total_lag	intervention_total_latency	6.0	0.0	True	analysis/path_timing_concordance.csv
c	schelling	tol_minus_unhappy_to_move_std_to_spatial_sim	supported	observational_total_lag	intervention_total_latency	6.0	1.0	True	analysis/path_timing_concordance.csv
c	schelling	tol_minus_unhappy_to_unhappy_std_to_components	supported	observational_total_lag	intervention_total_latency	2.0	2.0	True	analysis/path_timing_concordance.csv
c	schelling	tol_plus_unhappy_to_dest_std_to_components	inconclusive	observational_total_lag	intervention_total_latency	6.0	76.0	True	analysis/path_timing_concordance.csv
c	schelling	tol_plus_unhappy_to_group_entropy_to_components	inconclusive	observational_total_lag	intervention_total_latency	2.0	76.0	True	analysis/path_timing_concordance.csv
c	schelling	tol_plus_unhappy_to_move_std_to_global_moved	supported	observational_total_lag	intervention_total_latency	9.0	0.0	True	analysis/path_timing_concordance.csv
