scenario	operator	error_ratio	repetition	evaluation_track	candidate_edge_count	retained_edge_count	temporal_qualification_rate	stability
deffuant	wrong_hypothesis_group_assignment	0.1	5	full_discovery	28	15	0.5357142857142857	0.937777777777778
deffuant	wrong_hypothesis_group_assignment	0.1	6	full_discovery	28	16	0.5714285714285714	0.9291666666666668
deffuant	wrong_hypothesis_group_assignment	0.1	7	full_discovery	28	16	0.5714285714285714	0.9520833333333334
deffuant	wrong_hypothesis_group_assignment	0.1	8	full_discovery	28	16	0.5714285714285714	0.94375
deffuant	wrong_hypothesis_group_assignment	0.1	9	full_discovery	28	16	0.5714285714285714	0.9375
deffuant	wrong_hypothesis_group_assignment	0.1	10	full_discovery	28	16	0.5714285714285714	0.9375
deffuant	wrong_hypothesis_group_assignment	0.1	11	full_discovery	28	16	0.5714285714285714	0.93125
deffuant	wrong_hypothesis_group_assignment	0.2	0	full_discovery	28	15	0.5357142857142857	0.9533333333333336
deffuant	wrong_hypothesis_group_assignment	0.2	1	full_discovery	28	16	0.5714285714285714	0.9354166666666668
deffuant	wrong_hypothesis_group_assignment	0.2	2	full_discovery	28	16	0.5714285714285714	0.95
deffuant	wrong_hypothesis_group_assignment	0.2	3	full_discovery	28	16	0.5714285714285714	0.94375
deffuant	wrong_hypothesis_group_assignment	0.2	4	full_discovery	28	16	0.5714285714285714	0.9291666666666668
deffuant	wrong_hypothesis_group_assignment	0.2	5	full_discovery	28	16	0.5714285714285714	0.9416666666666668
deffuant	wrong_hypothesis_group_assignment	0.2	6	full_discovery	28	16	0.5714285714285714	0.95
deffuant	wrong_hypothesis_group_assignment	0.2	7	full_discovery	28	16	0.5714285714285714	0.9520833333333334
deffuant	wrong_hypothesis_group_assignment	0.2	8	full_discovery	28	16	0.5714285714285714	0.9541666666666668
deffuant	wrong_hypothesis_group_assignment	0.2	9	full_discovery	28	16	0.5714285714285714	0.9395833333333332
deffuant	wrong_hypothesis_group_assignment	0.2	10	full_discovery	28	16	0.5714285714285714	0.9395833333333334
deffuant	wrong_hypothesis_group_assignment	0.2	11	full_discovery	28	16	0.5714285714285714	0.9375
deffuant	wrong_hypothesis_group_assignment	0.4	0	full_discovery	28	16	0.5714285714285714	0.9416666666666668
deffuant	wrong_hypothesis_group_assignment	0.4	1	full_discovery	28	16	0.5714285714285714	0.9395833333333334
deffuant	wrong_hypothesis_group_assignment	0.4	2	full_discovery	28	16	0.5714285714285714	0.9208333333333334
deffuant	wrong_hypothesis_group_assignment	0.4	3	full_discovery	28	16	0.5714285714285714	0.93125
deffuant	wrong_hypothesis_group_assignment	0.4	4	full_discovery	28	16	0.5714285714285714	0.9479166666666666
deffuant	wrong_hypothesis_group_assignment	0.4	5	full_discovery	28	16	0.5714285714285714	0.9395833333333332
deffuant	wrong_hypothesis_group_assignment	0.4	6	full_discovery	28	16	0.5714285714285714	0.94375
deffuant	wrong_hypothesis_group_assignment	0.4	7	full_discovery	28	16	0.5714285714285714	0.95
deffuant	wrong_hypothesis_group_assignment	0.4	8	full_discovery	28	15	0.5357142857142857	0.9533333333333336
deffuant	wrong_hypothesis_group_assignment	0.4	9	full_discovery	28	16	0.5714285714285714	0.9333333333333332
deffuant	wrong_hypothesis_group_assignment	0.4	10	full_discovery	28	16	0.5714285714285714	0.9416666666666668
deffuant	wrong_hypothesis_group_assignment	0.4	11	full_discovery	28	15	0.5357142857142857	0.9444444444444444
schelling	cross_hypothesis_group_relation	0.0	0	full_discovery	29	28	0.9655172413793104	0.9738095238095238
schelling	cross_hypothesis_group_relation	0.0	1	full_discovery	29	28	0.9655172413793104	0.9761904761904762
schelling	cross_hypothesis_group_relation	0.0	2	full_discovery	29	28	0.9655172413793104	0.9726190476190476
schelling	cross_hypothesis_group_relation	0.0	3	full_discovery	29	28	0.9655172413793104	0.973809523809524
schelling	cross_hypothesis_group_relation	0.0	4	full_discovery	29	28	0.9655172413793104	0.9726190476190476
schelling	cross_hypothesis_group_relation	0.0	5	full_discovery	29	28	0.9655172413793104	0.9797619047619048
schelling	cross_hypothesis_group_relation	0.0	6	full_discovery	29	28	0.9655172413793104	0.961904761904762
schelling	cross_hypothesis_group_relation	0.0	7	full_discovery	29	28	0.9655172413793104	0.9726190476190476
schelling	cross_hypothesis_group_relation	0.0	8	full_discovery	29	28	0.9655172413793104	0.9607142857142856
schelling	cross_hypothesis_group_relation	0.0	9	full_discovery	29	28	0.9655172413793104	0.9738095238095238
schelling	cross_hypothesis_group_relation	0.0	10	full_discovery	29	28	0.9655172413793104	0.9726190476190476
schelling	cross_hypothesis_group_relation	0.0	11	full_discovery	29	28	0.9655172413793104	0.9654761904761904
schelling	cross_hypothesis_group_relation	0.1	0	full_discovery	32	31	0.96875	0.9623655913978494
schelling	cross_hypothesis_group_relation	0.1	1	full_discovery	32	30	0.9375	0.9788888888888888
schelling	cross_hypothesis_group_relation	0.1	2	full_discovery	32	31	0.96875	0.972043010752688
schelling	cross_hypothesis_group_relation	0.1	3	full_discovery	32	30	0.9375	0.97
schelling	cross_hypothesis_group_relation	0.1	4	full_discovery	32	31	0.96875	0.964516129032258
schelling	cross_hypothesis_group_relation	0.1	5	full_discovery	32	29	0.90625	0.9678160919540229
schelling	cross_hypothesis_group_relation	0.1	6	full_discovery	32	30	0.9375	0.9744444444444444
schelling	cross_hypothesis_group_relation	0.1	7	full_discovery	32	31	0.96875	0.9655913978494622
schelling	cross_hypothesis_group_relation	0.1	8	full_discovery	32	29	0.90625	0.9712643678160918
