scenario	path_id	path_code	row	segment	source	target	status_file	status_field	raw_status	display_status	intervention_scope	scope_file	root_source	parameter	direction	hypothesis_group_id	attempt_underlying_class
schelling	tol_minus_unhappy_to_unhappy_std_to_components	S12	11	0	tolerance	unhappy_fraction	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	minus	macro_outcome_macro_global_connected_components	
schelling	tol_minus_unhappy_to_unhappy_std_to_components	S12	11	1	unhappy_fraction	meso_district_unhappy_fraction_std	analysis/path_intervention_classification.csv	micro_meso_class	supported	supported	direct_root	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	minus	macro_outcome_macro_global_connected_components	supported
schelling	tol_minus_unhappy_to_unhappy_std_to_components	S12	11	2	meso_district_unhappy_fraction_std	macro_global_connected_components	analysis/path_intervention_classification.csv	meso_macro_class	supported	supported	upstream_mediated	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	minus	macro_outcome_macro_global_connected_components	supported
schelling	tol_plus_unhappy_to_dest_std_to_components	S13	12	0	tolerance	unhappy_fraction	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	plus	macro_outcome_macro_global_connected_components	
schelling	tol_plus_unhappy_to_dest_std_to_components	S13	12	1	unhappy_fraction	meso_district_destination_similarity_std	analysis/path_intervention_classification.csv	micro_meso_class	supported	supported	direct_root	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	plus	macro_outcome_macro_global_connected_components	supported
schelling	tol_plus_unhappy_to_dest_std_to_components	S13	12	2	meso_district_destination_similarity_std	macro_global_connected_components	analysis/path_intervention_classification.csv	meso_macro_class	no_stable_downstream_effect	inconclusive	upstream_mediated	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	plus	macro_outcome_macro_global_connected_components	no_stable_downstream_effect
schelling	tol_plus_unhappy_to_group_entropy_to_components	S14	13	0	tolerance	unhappy_fraction	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	plus	macro_outcome_macro_global_connected_components	
schelling	tol_plus_unhappy_to_group_entropy_to_components	S14	13	1	unhappy_fraction	meso_district_group_entropy_mean	analysis/path_intervention_classification.csv	micro_meso_class	no_stable_downstream_effect	inconclusive	direct_root	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	plus	macro_outcome_macro_global_connected_components	no_stable_downstream_effect
schelling	tol_plus_unhappy_to_group_entropy_to_components	S14	13	2	meso_district_group_entropy_mean	macro_global_connected_components	analysis/path_intervention_classification.csv	meso_macro_class	no_stable_downstream_effect	inconclusive	upstream_mediated	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	plus	macro_outcome_macro_global_connected_components	no_stable_downstream_effect
schelling	tol_plus_unhappy_to_move_std_to_global_moved	S15	14	0	tolerance	unhappy_fraction	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	plus	macro_outcome_macro_global_moved_fraction	
schelling	tol_plus_unhappy_to_move_std_to_global_moved	S15	14	1	unhappy_fraction	meso_district_move_fraction_std	analysis/path_intervention_classification.csv	micro_meso_class	supported	supported	direct_root	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	plus	macro_outcome_macro_global_moved_fraction	supported
schelling	tol_plus_unhappy_to_move_std_to_global_moved	S15	14	2	meso_district_move_fraction_std	macro_global_moved_fraction	analysis/path_intervention_classification.csv	meso_macro_class	supported	supported	upstream_mediated	analysis/intervention_classifications.csv	unhappy_fraction	tolerance	plus	macro_outcome_macro_global_moved_fraction	supported
deffuant	as_minus_shift_ovar_gvar	D01	0	0	assimilation_strength	micro_mean_abs_agent_shift	analysis/path_intervention_classification.csv	manipulation_success	False	manipulation_failure	direct_root	analysis/intervention_classifications.csv	micro_mean_abs_agent_shift	assimilation_strength	minus	macro_outcome_macro_opinion_global_variance	
deffuant	as_minus_shift_ovar_gvar	D01	0	1	micro_mean_abs_agent_shift	meso_neighborhood_opinion_variance	analysis/path_intervention_classification.csv	micro_meso_class	manipulation_failure	manipulation_failure	direct_root	analysis/intervention_classifications.csv	micro_mean_abs_agent_shift	assimilation_strength	minus	macro_outcome_macro_opinion_global_variance	manipulation_failure
deffuant	as_minus_shift_ovar_gvar	D01	0	2	meso_neighborhood_opinion_variance	macro_opinion_global_variance	analysis/path_intervention_classification.csv	meso_macro_class	manipulation_failure	manipulation_failure	upstream_mediated	analysis/intervention_classifications.csv	micro_mean_abs_agent_shift	assimilation_strength	minus	macro_outcome_macro_opinion_global_variance	manipulation_failure
deffuant	as_plus_shift_diststd_assort	D02	1	0	assimilation_strength	micro_mean_abs_agent_shift	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	micro_mean_abs_agent_shift	assimilation_strength	plus	macro_outcome_macro_network_assortativity	
deffuant	as_plus_shift_diststd_assort	D02	1	1	micro_mean_abs_agent_shift	meso_neighborhood_interaction_distance_std	analysis/path_intervention_classification.csv	micro_meso_class	no_stable_downstream_effect	inconclusive	direct_root	analysis/intervention_classifications.csv	micro_mean_abs_agent_shift	assimilation_strength	plus	macro_outcome_macro_network_assortativity	no_stable_downstream_effect
deffuant	as_plus_shift_diststd_assort	D02	1	2	meso_neighborhood_interaction_distance_std	macro_network_assortativity	analysis/path_intervention_classification.csv	meso_macro_class	no_stable_downstream_effect	inconclusive	upstream_mediated	analysis/intervention_classifications.csv	micro_mean_abs_agent_shift	assimilation_strength	plus	macro_outcome_macro_network_assortativity	no_stable_downstream_effect
deffuant	as_plus_shift_ostd_gvar	D03	2	0	assimilation_strength	micro_mean_abs_agent_shift	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	micro_mean_abs_agent_shift	assimilation_strength	plus	macro_outcome_macro_opinion_global_variance	
deffuant	as_plus_shift_ostd_gvar	D03	2	1	micro_mean_abs_agent_shift	meso_neighborhood_opinion_std	analysis/path_intervention_classification.csv	micro_meso_class	no_stable_downstream_effect	inconclusive	direct_root	analysis/intervention_classifications.csv	micro_mean_abs_agent_shift	assimilation_strength	plus	macro_outcome_macro_opinion_global_variance	no_stable_downstream_effect
deffuant	as_plus_shift_ostd_gvar	D03	2	2	meso_neighborhood_opinion_std	macro_opinion_global_variance	analysis/path_intervention_classification.csv	meso_macro_class	no_stable_downstream_effect	inconclusive	upstream_mediated	analysis/intervention_classifications.csv	micro_mean_abs_agent_shift	assimilation_strength	plus	macro_outcome_macro_opinion_global_variance	no_stable_downstream_effect
deffuant	bt_plus_backfire_shiftstd_gmean	D04	3	0	backfire_threshold	micro_backfire_fraction	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	micro_backfire_fraction	backfire_threshold	plus	macro_outcome_macro_opinion_global_mean	
deffuant	bt_plus_backfire_shiftstd_gmean	D04	3	1	micro_backfire_fraction	meso_neighborhood_agent_shift_std	analysis/path_intervention_classification.csv	micro_meso_class	no_stable_downstream_effect	inconclusive	direct_root	analysis/intervention_classifications.csv	micro_backfire_fraction	backfire_threshold	plus	macro_outcome_macro_opinion_global_mean	no_stable_downstream_effect
deffuant	bt_plus_backfire_shiftstd_gmean	D04	3	2	meso_neighborhood_agent_shift_std	macro_opinion_global_mean	analysis/path_intervention_classification.csv	meso_macro_class	no_stable_downstream_effect	inconclusive	upstream_mediated	analysis/intervention_classifications.csv	micro_backfire_fraction	backfire_threshold	plus	macro_outcome_macro_opinion_global_mean	no_stable_downstream_effect
deffuant	cb_minus_accept_absovar_assort	D05	4	0	confidence_bound	micro_accepted_fraction	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	micro_accepted_fraction	confidence_bound	minus	macro_outcome_macro_network_assortativity	
deffuant	cb_minus_accept_absovar_assort	D05	4	1	micro_accepted_fraction	meso_neighborhood_abs_opinion_variance	analysis/path_intervention_classification.csv	micro_meso_class	supported	supported	direct_root	analysis/intervention_classifications.csv	micro_accepted_fraction	confidence_bound	minus	macro_outcome_macro_network_assortativity	supported
deffuant	cb_minus_accept_absovar_assort	D05	4	2	meso_neighborhood_abs_opinion_variance	macro_network_assortativity	analysis/path_intervention_classification.csv	meso_macro_class	supported	supported	upstream_mediated	analysis/intervention_classifications.csv	micro_accepted_fraction	confidence_bound	minus	macro_outcome_macro_network_assortativity	supported
deffuant	cb_minus_accept_ovar_gvar	D06	5	0	confidence_bound	micro_accepted_fraction	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	micro_accepted_fraction	confidence_bound	minus	macro_outcome_macro_opinion_global_variance	
deffuant	cb_minus_accept_ovar_gvar	D06	5	1	micro_accepted_fraction	meso_neighborhood_opinion_variance	analysis/path_intervention_classification.csv	micro_meso_class	supported	supported	direct_root	analysis/intervention_classifications.csv	micro_accepted_fraction	confidence_bound	minus	macro_outcome_macro_opinion_global_variance	supported
deffuant	cb_minus_accept_ovar_gvar	D06	5	2	meso_neighborhood_opinion_variance	macro_opinion_global_variance	analysis/path_intervention_classification.csv	meso_macro_class	supported	supported	upstream_mediated	analysis/intervention_classifications.csv	micro_accepted_fraction	confidence_bound	minus	macro_outcome_macro_opinion_global_variance	supported
deffuant	cb_plus_accept_ostd_gvar	D07	6	0	confidence_bound	micro_accepted_fraction	analysis/path_intervention_classification.csv	manipulation_success	True	supported	direct_root	analysis/intervention_classifications.csv	micro_accepted_fraction	confidence_bound	plus	macro_outcome_macro_opinion_global_variance	
deffuant	cb_plus_accept_ostd_gvar	D07	6	1	micro_accepted_fraction	meso_neighborhood_opinion_std	analysis/path_intervention_classification.csv	micro_meso_class	supported	supported	direct_root	analysis/intervention_classifications.csv	micro_accepted_fraction	confidence_bound	plus	macro_outcome_macro_opinion_global_variance	supported
deffuant	cb_plus_accept_ostd_gvar	D07	6	2	meso_neighborhood_opinion_std	macro_opinion_global_variance	analysis/path_intervention_classification.csv	meso_macro_class	supported	supported	upstream_mediated	analysis/intervention_classifications.csv	micro_accepted_fraction	confidence_bound	plus	macro_outcome_macro_opinion_global_variance	supported
