scenario,time,unhappy_agent_fraction,changed_cell_fraction,opinion_dispersion,extreme_agent_fraction,snapshot
schelling,52,0.011111111111111112,0.0,,,False
schelling,53,0.011111111111111112,0.0,,,False
schelling,54,0.009722222222222222,0.0022222222222222222,,,False
schelling,55,0.008333333333333333,0.0022222222222222222,,,False
schelling,56,0.008333333333333333,0.0,,,False
schelling,57,0.008333333333333333,0.0,,,False
schelling,58,0.008333333333333333,0.0022222222222222222,,,False
schelling,59,0.008333333333333333,0.0,,,False
schelling,60,0.008333333333333333,0.0,,,True
schelling,61,0.008333333333333333,0.0,,,False
schelling,62,0.005555555555555556,0.0022222222222222222,,,False
schelling,63,0.005555555555555556,0.0022222222222222222,,,False
schelling,64,0.005555555555555556,0.0,,,False
schelling,65,0.005555555555555556,0.0,,,False
schelling,66,0.005555555555555556,0.0,,,False
schelling,67,0.005555555555555556,0.0,,,False
schelling,68,0.002777777777777778,0.0044444444444444444,,,False
schelling,69,0.002777777777777778,0.0,,,False
schelling,70,0.002777777777777778,0.0,,,False
schelling,71,0.002777777777777778,0.0,,,False
schelling,72,0.002777777777777778,0.0,,,False
schelling,73,0.005555555555555556,0.0022222222222222222,,,False
schelling,74,0.005555555555555556,0.0,,,False
schelling,75,0.005555555555555556,0.0,,,False
schelling,76,0.005555555555555556,0.0,,,False
schelling,77,0.002777777777777778,0.0022222222222222222,,,False
schelling,78,0.002777777777777778,0.0,,,False
schelling,79,0.001388888888888889,0.0022222222222222222,,,False
schelling,80,0.001388888888888889,0.0,,,False
schelling,81,0.001388888888888889,0.0,,,False
schelling,82,0.001388888888888889,0.0,,,False
schelling,83,0.001388888888888889,0.0,,,False
schelling,84,0.001388888888888889,0.0,,,False
schelling,85,0.001388888888888889,0.0,,,False
schelling,86,0.001388888888888889,0.0,,,False
schelling,87,0.001388888888888889,0.0,,,False
schelling,88,0.001388888888888889,0.0,,,False
schelling,89,0.001388888888888889,0.0,,,False
schelling,90,0.001388888888888889,0.0,,,False
schelling,91,0.001388888888888889,0.0,,,False
schelling,92,0.0,0.0022222222222222222,,,False
schelling,93,0.0,0.0,,,False
schelling,94,0.0,0.0,,,False
schelling,95,0.0,0.0,,,False
schelling,96,0.0,0.0,,,False
schelling,97,0.0,0.0,,,False
schelling,98,0.0,0.0,,,False
schelling,99,0.0,0.0,,,False
schelling,100,0.0,0.0,,,False
schelling,101,0.0,0.0,,,False
schelling,102,0.0,0.0,,,False
schelling,103,0.0,0.0,,,False
schelling,104,0.0,0.0,,,False
schelling,105,0.0,0.0,,,False
schelling,106,0.0,0.0,,,False
schelling,107,0.0,0.0,,,False
schelling,108,0.0,0.0,,,False
schelling,109,0.0,0.0,,,False
schelling,110,0.0,0.0,,,False
schelling,111,0.0,0.0,,,False
schelling,112,0.0,0.0,,,False
schelling,113,0.0,0.0,,,False
schelling,114,0.0,0.0,,,False
schelling,115,0.0,0.0,,,False
schelling,116,0.0,0.0,,,False
schelling,117,0.0,0.0,,,False
schelling,118,0.0,0.0,,,False
schelling,119,0.0,0.0,,,False
schelling,120,0.0,0.0,,,True
schelling,121,0.0,0.0,,,False
schelling,122,0.0,0.0,,,False
schelling,123,0.0,0.0,,,False
schelling,124,0.0,0.0,,,False
schelling,125,0.0,0.0,,,False
schelling,126,0.0,0.0,,,False
schelling,127,0.0,0.0,,,False
