panel	scenario	operator	error_ratio	metric	n_total	n_finite	median	q25	q75	repetitions
h	deffuant	delete_candidate_relation	0.4	stability	12	12	0.9649999999999999	0.9470833333333335	0.9752136752136753	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
h	schelling	delete_candidate_relation	0.0	stability	12	12	0.9702380952380952	0.9678571428571427	0.9729828042328041	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
h	schelling	delete_candidate_relation	0.1	stability	12	12	0.9756944444444446	0.9737681159420288	0.9780000000000002	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
h	schelling	delete_candidate_relation	0.2	stability	12	12	0.9742424242424241	0.9682359307359308	0.9843073593073591	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
h	schelling	delete_candidate_relation	0.4	stability	12	12	0.972732843137255	0.9707589285714288	0.9817708333333333	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
i	deffuant	wrong_hypothesis_group_assignment	0.0	stability	12	12	0.9416666666666668	0.9369791666666667	0.9467013888888889	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
i	deffuant	wrong_hypothesis_group_assignment	0.1	stability	12	12	0.940763888888889	0.9359375	0.9489583333333335	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
i	deffuant	wrong_hypothesis_group_assignment	0.2	stability	12	12	0.9427083333333334	0.9390624999999999	0.9505208333333333	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
i	deffuant	wrong_hypothesis_group_assignment	0.4	stability	12	12	0.9416666666666668	0.9380208333333332	0.9453125	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
i	schelling	wrong_hypothesis_group_assignment	0.0	stability	12	12	0.9654761904761904	0.9624999999999999	0.9699404761904762	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
i	schelling	wrong_hypothesis_group_assignment	0.1	stability	12	12	0.973941798941799	0.9709656084656085	0.978395061728395	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
i	schelling	wrong_hypothesis_group_assignment	0.2	stability	12	12	0.9709215167548502	0.9675925925925926	0.9764880952380952	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
i	schelling	wrong_hypothesis_group_assignment	0.4	stability	12	12	0.9721119929453264	0.967526455026455	0.9741071428571431	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
j	deffuant	cross_hypothesis_group_relation	0.0	stability	12	12	0.9479166666666667	0.9458333333333332	0.9520833333333334	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
j	deffuant	cross_hypothesis_group_relation	0.1	stability	12	12	0.9469298245614035	0.9356944444444446	0.954796918767507	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
j	deffuant	cross_hypothesis_group_relation	0.2	stability	12	12	0.9480324074074076	0.9441666666666666	0.9543518518518519	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
j	deffuant	cross_hypothesis_group_relation	0.4	stability	12	12	0.9458228905597328	0.9376811594202897	0.955486111111111	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
j	schelling	cross_hypothesis_group_relation	0.0	stability	12	12	0.9726190476190476	0.9708333333333333	0.9738095238095239	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
j	schelling	cross_hypothesis_group_relation	0.1	stability	12	12	0.9689080459770114	0.964516129032258	0.9714590285502409	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
j	schelling	cross_hypothesis_group_relation	0.2	stability	12	12	0.9677251344086021	0.9666666666666668	0.9743111559139785	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
j	schelling	cross_hypothesis_group_relation	0.4	stability	12	12	0.971032571032571	0.9636466165413534	0.9735105580693817	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
