evaluation_track,scenario,parameter,dose_label,dose_value,normalized_dose,node_id,scale,mean_raw_effect,mean_standardized_effect,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_low_raw,bootstrap_ci_high_raw,paired_seed_sign_consistency,paired_seed_count,baseline_sd,is_mid_dose,primary_support_input
secondary_dose_response,deffuant,assimilation_strength,minus,0.12,-1.0,meso_neighborhood_opinion_std,meso,0.0222225259866224,0.2054652532642656,0.177200953530872,0.2356983454944258,0.0193036199743014,0.0257939795091435,1.0,24,0.1081571002082782,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_minus,0.185,-0.5,meso_neighborhood_opinion_std,meso,0.0046514482090743,0.0430064064228522,0.0043349138840748,0.0794985915263824,0.0007152090878084,0.0086542446673439,0.75,24,0.1081571002082782,True,False
secondary_dose_response,deffuant,assimilation_strength,baseline,0.25,0.0,meso_neighborhood_opinion_std,meso,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24,0.1081571002082782,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_plus,0.325,0.5,meso_neighborhood_opinion_std,meso,-0.0018676120585647,-0.0172675862700488,-0.0491703564378319,0.0153323228198968,-0.0055964683881386,0.001680232963769,0.5416666666666666,24,0.1081571002082782,True,False
secondary_dose_response,deffuant,assimilation_strength,plus,0.4,1.0,meso_neighborhood_opinion_std,meso,-0.0064081526467494,-0.0592485619012456,-0.105535103025798,-0.0170476362555138,-0.0115180829368875,-0.0006863730417751,0.6666666666666666,24,0.1081571002082782,False,False
secondary_dose_response,deffuant,assimilation_strength,minus,0.12,-1.0,meso_neighborhood_opinion_variance,meso,0.0069556824857836,0.1491503226741311,0.1121426854943218,0.1800507323574938,0.0051508743633084,0.0086925061807969,0.9166666666666666,24,0.046635383424417,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_minus,0.185,-0.5,meso_neighborhood_opinion_variance,meso,0.0009182114263111,0.0196891578644215,-0.0280002088919768,0.0619133918386599,-0.0012200277910012,0.0028321693982549,0.625,24,0.046635383424417,True,False
secondary_dose_response,deffuant,assimilation_strength,baseline,0.25,0.0,meso_neighborhood_opinion_variance,meso,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24,0.046635383424417,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_plus,0.325,0.5,meso_neighborhood_opinion_variance,meso,-0.0002145495282107,-0.0046005739088312,-0.0471961683785507,0.0380329404584596,-0.0024055160806378,0.0018889885528473,0.4583333333333333,24,0.046635383424417,True,False
secondary_dose_response,deffuant,assimilation_strength,plus,0.4,1.0,meso_neighborhood_opinion_variance,meso,-0.0024199811260556,-0.0518915241680771,-0.1150409023406922,0.013796818655953,-0.0057242509906482,0.0007851832081213,0.625,24,0.046635383424417,False,False
secondary_dose_response,deffuant,assimilation_strength,minus,0.12,-1.0,micro_mean_abs_agent_shift,micro,-0.000446620264018,-0.0862345684606112,-0.128203740767466,-0.0503153771461671,-0.000672399803626,-0.0002717954952582,0.8333333333333334,24,0.0051791325913816,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_minus,0.185,-0.5,micro_mean_abs_agent_shift,micro,-0.0001864432347836,-0.0359989306112628,-0.0810684249200199,0.0113507270582669,-0.0004301373508356,1.4694529300707536e-05,0.5833333333333334,24,0.0051791325913816,True,False
secondary_dose_response,deffuant,assimilation_strength,baseline,0.25,0.0,micro_mean_abs_agent_shift,micro,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24,0.0051791325913816,False,False
secondary_dose_response,deffuant,assimilation_strength,mid_plus,0.325,0.5,micro_mean_abs_agent_shift,micro,0.000521124833089,0.1006200988088674,0.0557053139872159,0.1548879240368123,0.000290609411883,0.0007639482122462,0.7916666666666666,24,0.0051791325913816,True,False
secondary_dose_response,deffuant,assimilation_strength,plus,0.4,1.0,micro_mean_abs_agent_shift,micro,0.0011016551328328,0.2127103551405641,0.1443422546772928,0.2986010945656425,0.0007092510755477,0.0015756806279381,0.9166666666666666,24,0.0051791325913816,False,False
secondary_dose_response,deffuant,backfire_threshold,minus,0.5,-1.0,macro_network_assortativity,macro,0.0022595148891089,0.0123667882452514,-0.0081414107579701,0.0294099337368612,-0.0014341441447699,0.0055685999768489,0.5833333333333334,24,0.1827083026166087,False,False
secondary_dose_response,deffuant,backfire_threshold,mid_minus,0.575,-0.5,macro_network_assortativity,macro,0.0027401175651519,0.0149972252268235,-0.0014166123832062,0.0356136120026965,9.766626352609832e-05,0.0060615221267639,0.6666666666666666,24,0.1827083026166087,True,False
