evaluation_track,scenario,parameter,node_id,scale,dose_point_count,dose_response_slope,slope_ci_low,slope_ci_high,spearman_rho,monotonic_direction_score,adjacent_dose_consistency,quadratic_delta_r2,nonlinearity_indicator,slope_bootstrap_unit,primary_classification_changed
secondary_dose_response,schelling,destination_preference,meso_district_group_entropy_mean,meso,5,-0.0449606374688077,-0.1753928700555508,0.1049616966175689,0.0,0.4,0.25,0.6061822479917283,True,paired_seeds,False
secondary_dose_response,schelling,destination_preference,meso_district_move_distance_std,meso,5,-0.3180975827902003,-0.3402651663359249,-0.2906835824428353,-1.0,1.0,1.0,0.1526919959744974,True,paired_seeds,False
secondary_dose_response,schelling,move_probability,macro_global_connected_components,macro,5,-0.7711257731299495,-0.8181023734951259,-0.7254718472444183,-1.0,1.0,1.0,0.1041378977242113,True,paired_seeds,False
secondary_dose_response,schelling,move_probability,macro_global_moved_fraction,macro,5,-0.3034290897000423,-0.3212281348799923,-0.2870997514639201,-1.0,1.0,1.0,0.0022163437827781,False,paired_seeds,False
secondary_dose_response,schelling,move_probability,macro_global_spatial_neighbor_similarity,macro,5,0.7614115716874614,0.7063692721398295,0.8140100047844069,1.0,1.0,1.0,0.0790619709569185,True,paired_seeds,False
secondary_dose_response,schelling,move_probability,macro_global_unhappy_fraction,macro,5,-0.7831600719720928,-0.8174399372045298,-0.7469549493041135,-1.0,1.0,1.0,0.0848168150996528,True,paired_seeds,False
secondary_dose_response,schelling,move_probability,meso_district_boundary_fraction_std,meso,5,0.0261733487522741,-0.1443286649605341,0.1909219375505392,0.6,0.7,0.5,0.0200016030716105,False,paired_seeds,False
secondary_dose_response,schelling,move_probability,meso_district_destination_similarity_std,meso,5,-0.3671002556961892,-0.3890602005501931,-0.3471808820123471,-1.0,1.0,1.0,0.0060697247410408,False,paired_seeds,False
secondary_dose_response,schelling,move_probability,meso_district_move_fraction_std,meso,5,-0.3818638492972481,-0.4042544692049059,-0.3575584598322505,-1.0,1.0,1.0,0.0079197086901838,False,paired_seeds,False
secondary_dose_response,schelling,move_probability,meso_district_neighbour_count_std,meso,5,-0.0357973846407724,-0.2423695889537334,0.1846630379569704,0.0,0.5,0.5,0.0003759719185147,False,paired_seeds,False
secondary_dose_response,schelling,move_probability,meso_district_unhappy_fraction_std,meso,5,-0.785191520541156,-0.8528086474358213,-0.7248080801276786,-1.0,1.0,1.0,0.040512011839221,False,paired_seeds,False
secondary_dose_response,schelling,move_probability,moved_fraction,micro,5,-0.3034290897000423,-0.3214549825580993,-0.2874455648624677,-1.0,1.0,1.0,0.0022163437827781,False,paired_seeds,False
secondary_dose_response,schelling,move_probability,relocation_response_fraction,micro,5,-0.0180729068619072,-0.040347434924419,0.0076064838378884,-0.3999999999999999,0.7,0.75,0.480704455057054,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,macro_global_connected_components,macro,5,-0.87162573937086,-0.9815975326126036,-0.7730655622436721,-1.0,1.0,1.0,0.2035384160017632,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,macro_global_moved_fraction,macro,5,0.4037445319796004,0.3715964475124765,0.4370741455584287,1.0,1.0,1.0,0.0718097918120469,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,macro_global_spatial_neighbor_similarity,macro,5,2.264537629052142,2.1662736905481057,2.3640780928620124,1.0,1.0,1.0,0.0703774595668184,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,macro_global_unhappy_fraction,macro,5,0.4580948189526223,0.4172585796024696,0.5015406505246081,1.0,1.0,1.0,0.0741184191254002,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,meso_district_boundary_fraction_std,meso,5,-0.9165219090334678,-1.1643358403389272,-0.6769481095837176,-0.8999999999999998,0.9,0.75,0.0617226831413523,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,meso_district_destination_similarity_std,meso,5,0.3305335255467561,0.3047012127836392,0.3586359597073651,1.0,1.0,1.0,0.058351292810996,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,meso_district_group_entropy_mean,meso,5,-0.6195733313770089,-0.787580680422932,-0.459424781648089,-1.0,1.0,1.0,0.0573564042322743,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,meso_district_move_fraction_std,meso,5,0.3709115458240591,0.3360079534599091,0.405571302214242,1.0,1.0,1.0,0.0555727584562163,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,meso_district_unhappy_fraction_std,meso,5,0.543310038839728,0.4795447302147139,0.6157941378125691,1.0,1.0,1.0,0.0869191278933271,True,paired_seeds,False
secondary_dose_response,schelling,tolerance,unhappy_fraction,micro,5,0.4580948189526223,0.4169588145528612,0.4993302466730764,1.0,1.0,1.0,0.0741184191254002,True,paired_seeds,False
