scenario,parameter,micro,meso,macro,primary_path_direction,minus_micro_effect,minus_micro_ci_low,minus_micro_ci_high,minus_micro_onset,minus_micro_significant,minus_micro_effect_sign,minus_meso_effect,minus_meso_ci_low,minus_meso_ci_high,minus_meso_onset,minus_meso_significant,minus_meso_effect_sign,minus_macro_effect,minus_macro_ci_low,minus_macro_ci_high,minus_macro_onset,minus_macro_significant,minus_macro_effect_sign,plus_micro_effect,plus_micro_ci_low,plus_micro_ci_high,plus_micro_onset,plus_micro_significant,plus_micro_effect_sign,plus_meso_effect,plus_meso_ci_low,plus_meso_ci_high,plus_meso_onset,plus_meso_significant,plus_meso_effect_sign,plus_macro_effect,plus_macro_ci_low,plus_macro_ci_high,plus_macro_onset,plus_macro_significant,plus_macro_effect_sign
deffuant,assimilation_strength,micro_mean_abs_agent_shift,meso_neighborhood_interaction_distance_std,macro_network_assortativity,plus,-0.08623456846061121,-0.12575122511101358,-0.046819451130533714,0,False,-1,0.11156579323883042,0.08370660396169871,0.13806311680114358,-1,False,1,-0.08622915966617033,-0.10620664726910625,-0.06712881735684388,-1,False,-1,0.21271035514056394,0.14013693087093584,0.2885972481906343,0,True,1,-0.04777153228823957,-0.10075317729824468,-0.0019977813256046553,-1,False,-1,0.03248738843093376,0.011139257767435882,0.05364913104877039,-1,False,1
deffuant,assimilation_strength,micro_mean_abs_agent_shift,meso_neighborhood_abs_opinion_std,macro_opinion_global_mean,minus,-0.08623456846061121,-0.12575122511101358,-0.046819451130533714,0,False,-1,0.8449205169425184,0.7545349662418402,0.9437898248274426,2,True,1,0.05226067994354771,-0.05010045544640946,0.14059407656644973,-1,False,1,0.21271035514056394,0.14013693087093584,0.2885972481906343,0,True,1,-0.25494303634669896,-0.3225377483525131,-0.1882421109948128,3,True,-1,0.1048786282602606,-0.024116999751269325,0.233716534558814,-1,False,1
deffuant,backfire_threshold,micro_backfire_fraction,meso_neighborhood_opinion_variance,macro_opinion_global_variance,plus,0.084013836920408,0.054029893096577575,0.11996837734990147,0,False,1,0.153541797345537,0.10223740269841869,0.1982395997146625,7,True,1,0.49797320703416603,0.388960414510913,0.5848562848008281,8,True,1,-0.48708574696528045,-0.5725423629451412,-0.4094447828494177,0,True,-1,-0.43140485392142586,-0.4724966032805454,-0.38612317588907746,4,True,-1,-1.5591775568332877,-1.6634751769245186,-1.4543934569284034,5,True,-1
deffuant,backfire_threshold,micro_backfire_fraction,meso_neighborhood_opinion_std,macro_opinion_global_variance,minus,0.084013836920408,0.054029893096577575,0.11996837734990147,0,False,1,0.07853228100310282,0.03755508863641788,0.11635868481697452,13,False,1,0.49797320703416603,0.388960414510913,0.5848562848008281,8,True,1,-0.48708574696528045,-0.5725423629451412,-0.4094447828494177,0,True,-1,-0.23471326994829153,-0.2691617337596106,-0.19638479828176325,6,True,-1,-1.5591775568332877,-1.6634751769245186,-1.4543934569284034,5,True,-1
deffuant,backfire_threshold,micro_backfire_fraction,meso_neighborhood_interaction_distance_variance,macro_network_largest_component_fraction,plus,0.084013836920408,0.054029893096577575,0.11996837734990147,0,False,1,0.16247977420209916,0.10053208778732273,0.21474064013764943,8,True,1,0.10227098929502106,-0.0836762639686536,0.3904892318537168,-1,False,1,-0.48708574696528045,-0.5725423629451412,-0.4094447828494177,0,True,-1,-0.47445913068290907,-0.5164128000332701,-0.4296471257518069,5,True,-1,0.13016307728457227,0.0,0.3904892318537168,-1,False,1
deffuant,backfire_threshold,micro_backfire_fraction,meso_neighborhood_interaction_distance_std,macro_network_assortativity,minus,0.084013836920408,0.054029893096577575,0.11996837734990147,0,False,1,0.08026559202693713,0.031997211501727386,0.12357133357299802,11,False,1,0.012366788245251392,-0.007392418932585089,0.02958404874708169,-1,False,1,-0.48708574696528045,-0.5725423629451412,-0.4094447828494177,0,True,-1,-0.26189821677645314,-0.29654855362630433,-0.22470385152034109,7,True,-1,-0.04228636107100136,-0.06333747600330476,-0.023318403748267633,-1,False,-1
deffuant,backfire_threshold,micro_backfire_fraction,meso_neighborhood_agent_shift_std,macro_opinion_global_mean,plus,0.084013836920408,0.054029893096577575,0.11996837734990147,0,False,1,-0.04324003454168681,-0.08836900932597855,0.014645156173200747,-1,False,-1,-0.04645459579341504,-0.10021966978786635,0.01577846227982095,-1,False,-1,-0.48708574696528045,-0.5725423629451412,-0.4094447828494177,0,True,-1,-0.06406406451114148,-0.1562046987506626,0.009232308795584843,-1,False,-1,-0.08090220145152664,-0.14772588987200733,-0.020525969297377444,-1,False,-1
deffuant,backfire_threshold,micro_backfire_fraction,meso_neighborhood_abs_opinion_std,macro_network_assortativity,minus,0.084013836920408,0.054029893096577575,0.11996837734990147,0,False,1,-0.08737976403848204,-0.14241929997748387,-0.02023043756183599,35,False,-1,0.012366788245251392,-0.007392418932585089,0.02958404874708169,-1,False,1,-0.48708574696528045,-0.5725423629451412,-0.4094447828494177,0,True,-1,0.06596035311120918,0.00201633558558351,0.13071546361783534,-1,False,1,-0.04228636107100136,-0.06333747600330476,-0.023318403748267633,-1,False,-1
schelling,tolerance,unhappy_fraction,meso_district_move_fraction_std,macro_global_moved_fraction,plus,-0.23785181381504725,-0.2642384474973926,-0.21111964879261577,0,True,-1,-0.20940930647534917,-0.2356034066429703,-0.18283663046140644,0,True,-1,-0.2113304102235822,-0.23432182880437508,-0.1873894826318197,0,True,-1,0.6810788178937784,0.5982559524001566,0.7600734287084175,0,True,1,0.5241375378923637,0.46394681559287065,0.5770809105276108,0,True,1,0.5992621073123257,0.5394799854971547,0.6570528464157745,0,True,1
schelling,tolerance,unhappy_fraction,meso_district_boundary_fraction_std,macro_global_spatial_neighbor_similarity,plus,-0.23785181381504725,-0.2642384474973926,-0.21111964879261577,0,True,-1,0.4089136124012554,-0.012196239619354569,0.8138332730507886,3,False,1,-3.340027328067182,-3.5242426236056055,-3.13259771870469,1,True,-1,0.6810788178937784,0.5982559524001566,0.7600734287084175,0,True,1,-1.2240413481341144,-1.6102912209955065,-0.8645484916851461,35,True,-1,1.1557030527038552,1.095560484708375,1.2236761090364827,2,True,1
