scenario,factor,noise_level,missing_fraction,support_threshold,repetition,temporal_qualification_rate,stability,retained_edge_count,intervention_f1
schelling,observation_noise,0.2,0.0,0.65,5,0.7586206896551724,0.968181818181818,22,
schelling,observation_noise,0.2,0.0,0.65,6,0.6896551724137931,0.945,20,
schelling,observation_noise,0.2,0.0,0.65,7,0.7931034482758621,0.9463768115942027,23,
schelling,support_threshold,0.0,0.0,0.5,0,0.9655172413793104,0.969047619047619,28,
schelling,support_threshold,0.0,0.0,0.5,1,0.9655172413793104,0.9654761904761905,28,
schelling,support_threshold,0.0,0.0,0.5,2,0.9655172413793104,0.9678571428571427,28,
schelling,support_threshold,0.0,0.0,0.5,3,0.9655172413793104,0.9761904761904762,28,
schelling,support_threshold,0.0,0.0,0.5,4,0.9655172413793104,0.969047619047619,28,
schelling,support_threshold,0.0,0.0,0.5,5,0.9655172413793104,0.9630952380952379,28,
schelling,support_threshold,0.0,0.0,0.5,6,0.9655172413793104,0.975,28,
schelling,support_threshold,0.0,0.0,0.5,7,0.9655172413793104,0.9702380952380951,28,
schelling,support_threshold,0.0,0.0,0.6,0,0.9655172413793104,0.9654761904761905,28,
schelling,support_threshold,0.0,0.0,0.6,1,0.9655172413793104,0.9702380952380952,28,
schelling,support_threshold,0.0,0.0,0.6,2,0.9655172413793104,0.9761904761904762,28,
schelling,support_threshold,0.0,0.0,0.6,3,0.9655172413793104,0.963095238095238,28,
schelling,support_threshold,0.0,0.0,0.6,4,0.9655172413793104,0.9678571428571429,28,
schelling,support_threshold,0.0,0.0,0.6,5,0.9655172413793104,0.963095238095238,28,
schelling,support_threshold,0.0,0.0,0.6,6,0.9655172413793104,0.9702380952380952,28,
schelling,support_threshold,0.0,0.0,0.6,7,0.9655172413793104,0.9749999999999999,28,
schelling,support_threshold,0.0,0.0,0.65,0,0.9655172413793104,0.9702380952380952,28,
schelling,support_threshold,0.0,0.0,0.65,1,0.9655172413793104,0.9666666666666667,28,
schelling,support_threshold,0.0,0.0,0.65,2,0.9655172413793104,0.9690476190476192,28,
schelling,support_threshold,0.0,0.0,0.65,3,0.9655172413793104,0.9666666666666667,28,
schelling,support_threshold,0.0,0.0,0.65,4,0.9655172413793104,0.9678571428571429,28,
schelling,support_threshold,0.0,0.0,0.65,5,0.9655172413793104,0.963095238095238,28,
schelling,support_threshold,0.0,0.0,0.65,6,0.9655172413793104,0.969047619047619,28,
schelling,support_threshold,0.0,0.0,0.65,7,0.9655172413793104,0.963095238095238,28,
schelling,support_threshold,0.0,0.0,0.75,0,0.9655172413793104,0.979761904761905,28,
schelling,support_threshold,0.0,0.0,0.75,1,0.9310344827586207,0.9814814814814815,27,
schelling,support_threshold,0.0,0.0,0.75,2,0.9655172413793104,0.9726190476190475,28,
schelling,support_threshold,0.0,0.0,0.75,3,0.9655172413793104,0.9714285714285713,28,
schelling,support_threshold,0.0,0.0,0.75,4,0.896551724137931,0.9807692307692307,26,
schelling,support_threshold,0.0,0.0,0.75,5,0.9310344827586207,0.9753086419753086,27,
schelling,support_threshold,0.0,0.0,0.75,6,0.9310344827586207,0.9814814814814816,27,
schelling,support_threshold,0.0,0.0,0.75,7,0.9310344827586207,0.9765432098765432,27,
schelling,support_threshold,0.0,0.0,0.85,0,0.9310344827586207,0.9753086419753086,27,
schelling,support_threshold,0.0,0.0,0.85,1,0.896551724137931,0.9782051282051282,26,
schelling,support_threshold,0.0,0.0,0.85,2,0.9310344827586207,0.9765432098765432,27,
schelling,support_threshold,0.0,0.0,0.85,3,0.896551724137931,0.9820512820512821,26,
schelling,support_threshold,0.0,0.0,0.85,4,0.8620689655172413,0.98,25,
schelling,support_threshold,0.0,0.0,0.85,5,0.8620689655172413,0.9933333333333334,25,
schelling,support_threshold,0.0,0.0,0.85,6,0.8620689655172413,0.9840000000000001,25,
schelling,support_threshold,0.0,0.0,0.85,7,0.8620689655172413,0.9813333333333334,25,
