scenario,method,hypothesis_group_id,root_source,edge_source,edge_target,source,target,parameter,direction,manipulation_level,manipulation_success,source_significant,target_significant,propagation_order_supported,primary_class,underlying_class,intervention_scope,root_onset,source_onset,target_onset,intervention_delay,observational_lag,observational_beta,lag_difference,temporal_direction_concordant,lag_concordant,root_effect,source_effect,target_effect,not_applicable_reason
deffuant,full_method,macro_outcome_d_macro_0,d_micro_assimilation,d_micro_assimilation,d_meso_0,d_micro_assimilation,d_meso_0,confidence_bound,plus,micro,True,True,True,True,supported,supported,direct_root,0,0,1,1.0,1,0.5479527525768131,0.0,True,True,0.6414189382753075,0.6414189382753075,0.5894890890492422,
deffuant,full_method,macro_outcome_d_macro_1,,d_meso_0,d_macro_1,d_meso_0,d_macro_1,,,none,False,False,False,False,not_applicable,not_applicable,none,-1,-1,-1,,5,-0.052311220268797795,,,,,,,no_legal_upstream_micro_manipulation_root
deffuant,full_method,macro_outcome_d_macro_1,d_micro_shift,d_meso_1,d_macro_1,d_meso_1,d_macro_1,assimilation_strength,minus,micro,False,False,False,True,manipulation_failure,manipulation_failure,upstream_mediated,0,2,6,4.0,3,0.10220778405314133,1.0,True,True,-0.08623456846061121,-0.0240320091550645,-0.040212606061237284,
deffuant,full_method,macro_outcome_d_macro_1,d_micro_shift,d_meso_1,d_macro_1,d_meso_1,d_macro_1,assimilation_strength,plus,micro,True,False,False,True,no_stable_downstream_effect,no_stable_downstream_effect,upstream_mediated,0,2,7,5.0,3,0.10220778405314133,2.0,True,True,0.21271035514056394,0.04955711733649698,0.04692151546669036,
deffuant,full_method,macro_outcome_d_macro_1,d_micro_shift,d_micro_shift,d_meso_1,d_micro_shift,d_meso_1,assimilation_strength,minus,micro,False,False,False,True,manipulation_failure,manipulation_failure,direct_root,0,0,2,2.0,2,0.10168238148992689,0.0,True,True,-0.08623456846061121,-0.08623456846061121,-0.0240320091550645,
deffuant,full_method,macro_outcome_d_macro_1,d_micro_shift,d_micro_shift,d_meso_1,d_micro_shift,d_meso_1,assimilation_strength,plus,micro,True,True,False,True,no_stable_downstream_effect,no_stable_downstream_effect,direct_root,0,0,2,2.0,2,0.10168238148992689,0.0,True,True,0.21271035514056394,0.21271035514056394,0.04955711733649698,
deffuant,full_method,macro_outcome_d_macro_2,d_micro_repulsion,d_meso_2,d_macro_2,d_meso_2,d_macro_2,backfire_threshold,minus,micro,False,False,True,True,manipulation_failure,manipulation_failure,upstream_mediated,0,3,7,4.0,4,0.33037661487314285,0.0,True,True,0.084013836920408,0.09421754332112713,0.46091591535528426,
deffuant,full_method,macro_outcome_d_macro_2,d_micro_repulsion,d_meso_2,d_macro_2,d_meso_2,d_macro_2,backfire_threshold,plus,micro,True,True,True,True,supported,supported,upstream_mediated,0,3,7,4.0,4,0.33037661487314285,0.0,True,True,-0.48708574696528045,-0.4418177425784046,-1.598086352657563,
deffuant,full_method,macro_outcome_d_macro_2,d_micro_repulsion,d_micro_repulsion,d_meso_2,d_micro_repulsion,d_meso_2,backfire_threshold,minus,micro,False,False,False,True,manipulation_failure,manipulation_failure,direct_root,0,0,3,3.0,3,0.4722898526226291,0.0,True,True,0.084013836920408,0.084013836920408,0.09421754332112713,
deffuant,full_method,macro_outcome_d_macro_2,d_micro_repulsion,d_micro_repulsion,d_meso_2,d_micro_repulsion,d_meso_2,backfire_threshold,plus,micro,True,True,True,True,supported,supported,direct_root,0,0,3,3.0,3,0.4722898526226291,0.0,True,True,-0.48708574696528045,-0.48708574696528045,-0.4418177425784046,
