scenario,method,trajectory_count,repetition,temporal_qualification_rate,stability,lag_support,lag_std,stability_estimable,temporal_qualification_rate_ci_low,temporal_qualification_rate_ci_high,stability_ci_low,stability_ci_high
deffuant,full_method,4,6,0.39285714285714285,0.8393939393939394,0.6727272727272727,0.7941225402560385,True,0.32142857142857145,0.7955357142857142,0.6277173913043477,0.8393939393939394
deffuant,full_method,4,7,0.42857142857142855,0.861111111111111,0.44166666666666665,1.2275854100228714,True,0.4642857142857143,0.8669642857142856,0.7336013888888888,0.8242708333333333
deffuant,full_method,4,8,0.25,0.9714285714285714,0.7857142857142857,0.7193316845314998,True,0.41517857142857145,0.8214285714285714,0.6695652173913045,0.8637202380952379
deffuant,full_method,4,9,0.42857142857142855,0.9194444444444444,0.6888888888888888,0.8833424683170218,True,0.3991071428571429,0.8571428571428571,0.6597222222222222,0.9083333333333332
deffuant,full_method,4,10,0.32142857142857145,0.9592592592592593,0.737037037037037,1.1314427561815643,True,0.35714285714285715,0.8053571428571428,0.6287531565656566,0.9499999999999998
deffuant,full_method,4,11,0.4642857142857143,0.9282051282051283,0.7128205128205127,0.8971298308366195,True,0.5,0.7955357142857142,0.7407211870255348,0.9023809523809524
deffuant,full_method,8,0,0.42857142857142855,0.9583333333333334,0.7027777777777778,1.123200018675563,True,0.5357142857142857,0.75,0.7628703703703704,0.8967777777777778
deffuant,full_method,8,1,0.5357142857142857,0.8888888888888891,0.6555555555555557,1.124395930488301,True,0.49017857142857146,0.75,0.7447460317460318,0.8688318452380951
deffuant,full_method,8,2,0.5,0.85,0.5857142857142856,0.980840372002729,True,0.42500000000000004,0.7241071428571428,0.6845462962962964,0.819126984126984
deffuant,full_method,8,3,0.5714285714285714,0.9333333333333333,0.7708333333333333,0.8702529354283126,True,0.49017857142857146,0.7598214285714285,0.8025396825396823,0.9354548611111111
deffuant,full_method,8,4,0.5357142857142857,0.9466666666666668,0.6711111111111111,1.033125572955657,True,0.5714285714285714,0.8571428571428571,0.7949864130434783,0.9256525735294117
deffuant,full_method,8,5,0.39285714285714285,0.8848484848484849,0.6515151515151515,0.8030831910460455,True,0.42857142857142855,0.7241071428571428,0.7023313492063492,0.8404166666666667
deffuant,full_method,8,6,0.2857142857142857,0.8833333333333333,0.7,0.7837826829649595,True,0.31160714285714286,0.6785714285714286,0.6255882352941177,0.8475925925925925
deffuant,full_method,8,7,0.39285714285714285,0.9484848484848485,0.6151515151515151,0.9845531354815868,True,0.4544642857142857,0.7598214285714285,0.7457936507936508,0.9118406593406594
deffuant,full_method,8,8,0.39285714285714285,0.9333333333333335,0.6575757575757576,0.9886958353602734,True,0.42857142857142855,0.75,0.7034523809523808,0.8879166666666666
deffuant,full_method,8,9,0.5,0.9166666666666669,0.6619047619047621,0.8797535809548495,True,0.5357142857142857,0.7857142857142857,0.7594583333333333,0.8864305555555555
deffuant,full_method,8,10,0.32142857142857145,0.9333333333333333,0.6851851851851852,1.0724802495356593,True,0.41874999999999996,0.75,0.7171296296296297,0.8972222222222221
deffuant,full_method,8,11,0.32142857142857145,0.914814814814815,0.6851851851851852,0.6552637800796738,True,0.42857142857142855,0.7339285714285714,0.6612344028520498,0.8533226495726495
deffuant,full_method,12,0,0.5,0.9380952380952382,0.7380952380952381,0.9930744242903364,True,0.5258928571428572,0.75,0.7786838624338623,0.9004444444444445
deffuant,full_method,12,1,0.5714285714285714,0.89375,0.6125,0.932609271400915,True,0.4642857142857143,0.7857142857142857,0.7757310606060607,0.9058333333333335
deffuant,full_method,12,2,0.5357142857142857,0.9422222222222222,0.5711111111111111,1.043506066283468,True,0.5419642857142857,0.8214285714285714,0.782210144927536,0.9413902243589742
deffuant,full_method,12,3,0.6785714285714286,0.9070175438596492,0.6385964912280704,0.8681064609030182,True,0.5616071428571429,0.7955357142857142,0.8115966386554622,0.93365625
deffuant,full_method,12,4,0.35714285714285715,0.9066666666666668,0.76,0.8460110645958949,True,0.4446428571428572,0.7598214285714285,0.6685143097643097,0.8182600732600732
deffuant,full_method,12,5,0.5357142857142857,0.9200000000000002,0.7311111111111112,0.7449858814497442,True,0.5973214285714286,0.7955357142857142,0.8072384559884558,0.898148148148148
deffuant,full_method,12,6,0.42857142857142855,0.9111111111111113,0.6805555555555555,0.8463078918399587,True,0.4544642857142857,0.7598214285714285,0.7209457671957672,0.8830822649572649
deffuant,full_method,12,7,0.39285714285714285,0.9606060606060608,0.8121212121212121,0.7221986086227142,True,0.4446428571428572,0.7955357142857142,0.7437154150197628,0.9060897435897434
deffuant,full_method,12,8,0.4642857142857143,0.9692307692307692,0.7641025641025642,0.877464719016629,True,0.5160714285714285,0.7857142857142857,0.7581475468975469,0.9343418803418803
deffuant,full_method,12,9,0.5,0.9,0.7285714285714285,0.6623591575140446,True,0.5357142857142857,0.7598214285714285,0.7762083333333333,0.8922810457516338
deffuant,full_method,12,10,0.42857142857142855,0.9194444444444446,0.7277777777777779,0.7820896726428289,True,0.49017857142857146,0.75,0.758202380952381,0.8651236263736263
deffuant,full_method,12,11,0.42857142857142855,0.9166666666666666,0.8027777777777779,0.7264130241164809,True,0.39285714285714285,0.7857142857142857,0.723287037037037,0.9131944444444443
deffuant,full_method,16,0,0.42857142857142855,0.9361111111111112,0.8138888888888888,0.630663764928349,True,0.4642857142857143,0.7598214285714285,0.7677940115440116,0.8778485576923076
deffuant,full_method,16,1,0.5357142857142857,0.9222222222222224,0.7044444444444444,0.7880779769644752,True,0.5,0.7857142857142857,0.7690079365079364,0.9316071428571429
deffuant,full_method,16,2,0.6071428571428571,0.9058823529411765,0.7313725490196079,0.8538377655062019,True,0.5,0.7857142857142857,0.7903409090909089,0.912405462184874
deffuant,full_method,16,3,0.5357142857142857,0.9488888888888888,0.6933333333333335,0.9464991067294952,True,0.5357142857142857,0.7696428571428571,0.8034075224292614,0.9361006944444443
deffuant,full_method,16,4,0.39285714285714285,0.9454545454545457,0.7666666666666667,0.9455749372696647,True,0.49017857142857146,0.7241071428571428,0.7775825593395252,0.8974841269841267
deffuant,full_method,16,5,0.5,0.923809523809524,0.6833333333333335,0.76092813889512,True,0.4642857142857143,0.7339285714285714,0.7425833333333334,0.9366025641025642
deffuant,full_method,16,6,0.5714285714285714,0.9229166666666666,0.7583333333333333,0.7692380360574196,True,0.5357142857142857,0.8214285714285714,0.7786231884057969,0.9051348039215686
deffuant,full_method,16,7,0.5,0.9452380952380953,0.711904761904762,0.8547669993169923,True,0.5616071428571429,0.7955357142857142,0.7756587615283267,0.8971830065359476
deffuant,full_method,16,8,0.6785714285714286,0.8964912280701753,0.7245614035087719,0.8509769419737874,True,0.6428571428571429,0.7955357142857142,0.8098719336219335,0.9081018518518518
