evaluation_track,scenario,path_id,parameter,direction,source,meso,macro,node_id,scale,onset_time,onset_ci_low,onset_ci_high,observational_lag,response_delay,lag_difference,cumulative_effect,cumulative_effect_raw,significant
primary_discovery,schelling,tol_minus_unhappy_to_move_std_to_spatial_sim,tolerance,minus,unhappy_fraction,meso_district_move_fraction_std,macro_global_spatial_neighbor_similarity,macro_global_spatial_neighbor_similarity,macro,1,1.0,1.0,1.0,1.0,0.0,-3.340027328067182,-0.092582317409084,True
primary_discovery,schelling,tol_plus_unhappy_to_dest_std_to_components,tolerance,plus,unhappy_fraction,meso_district_destination_similarity_std,macro_global_connected_components,unhappy_fraction,micro,0,0.0,0.0,,,,0.6810788178937784,0.01636294699872286,True
primary_discovery,schelling,tol_plus_unhappy_to_dest_std_to_components,tolerance,plus,unhappy_fraction,meso_district_destination_similarity_std,macro_global_connected_components,meso_district_destination_similarity_std,meso,0,0.0,0.0,5.0,0.0,-5.0,0.46773650610488465,0.0011913635572829088,True
primary_discovery,schelling,tol_plus_unhappy_to_dest_std_to_components,tolerance,plus,unhappy_fraction,meso_district_destination_similarity_std,macro_global_connected_components,macro_global_connected_components,macro,76,1.0,20.0,1.0,76.0,75.0,-0.14391455400425834,-1.1362068965517242,False
primary_discovery,schelling,move_plus_response_to_move_std_to_global_moved,move_probability,plus,relocation_response_fraction,meso_district_move_fraction_std,macro_global_moved_fraction,relocation_response_fraction,micro,0,0.0,0.0,,,,-0.055605059281195156,-0.007682845370027415,False
primary_discovery,schelling,move_plus_response_to_move_std_to_global_moved,move_probability,plus,relocation_response_fraction,meso_district_move_fraction_std,macro_global_moved_fraction,meso_district_move_fraction_std,meso,0,0.0,0.0,2.0,0.0,-2.0,-0.3189939138418262,-0.0010177498055233944,True
primary_discovery,schelling,move_plus_response_to_move_std_to_global_moved,move_probability,plus,relocation_response_fraction,meso_district_move_fraction_std,macro_global_moved_fraction,macro_global_moved_fraction,macro,0,0.0,0.0,4.0,0.0,-4.0,-0.2787196878892839,-0.0007527139208173692,True
primary_discovery,schelling,move_plus_moved_to_dest_std_to_spatial_sim,move_probability,plus,moved_fraction,meso_district_destination_similarity_std,macro_global_spatial_neighbor_similarity,moved_fraction,micro,0,0.0,0.0,,,,-0.2787196878892839,-0.0007527139208173692,True
primary_discovery,schelling,move_plus_moved_to_dest_std_to_spatial_sim,move_probability,plus,moved_fraction,meso_district_destination_similarity_std,macro_global_spatial_neighbor_similarity,meso_district_destination_similarity_std,meso,0,0.0,0.0,1.0,0.0,-1.0,-0.31427913799125545,-0.0008004949516023208,True
primary_discovery,schelling,move_plus_moved_to_dest_std_to_spatial_sim,move_probability,plus,moved_fraction,meso_district_destination_similarity_std,macro_global_spatial_neighbor_similarity,macro_global_spatial_neighbor_similarity,macro,1,1.0,1.0,1.0,1.0,0.0,0.4482393507792006,0.01242475997137918,True
primary_discovery,schelling,move_minus_response_to_unhappy_std_to_global_unhappy,move_probability,minus,relocation_response_fraction,meso_district_unhappy_fraction_std,macro_global_unhappy_fraction,relocation_response_fraction,micro,0,0.0,0.0,,,,-0.05465641994604637,-0.0075517736758670476,False
